page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg
2,7,VPF-000412,Các loại trái cây,Mít dai,Jackfruit,69.0,0.9,,16.4,,259.2,7.2,,,,4.3,,,
2,8,VPF-000411,Các loại trái cây,Măng cụt,Mangosteen,19.0,0.2,0.1,4.9,,,0.9,,,,0.3,,,
2,9,VPF-000410,Các loại trái cây,Lê,Pear,167.0,2.6,0.7,37.7,,113.0,14.8,,,,18.5,,,
2,10,VPF-000409,Các loại trái cây,Hồng xiêm (sapochê),Sapodilla,38.0,0.4,0.6,8.0,,,6.4,,,,17.6,,,
2,11,VPF-000408,Các loại trái cây,Gioi (mận),Plum,38.0,0.9,,8.3,,,71.0,,,,,,,
2,12,VPF-000407,Các loại trái cây,Đu đủ,Papaya,28.0,0.8,,6.2,,221.0,43.2,,,,3.2,,,
2,13,VPF-000406,Các loại trái cây,Đào,Peach,68.0,2.0,0.4,13.9,,356.4,22.0,,,,2.2,,,
2,14,VPF-000405,Các loại trái cây,Dứa ta,Pineapple,23.0,0.6,,5.2,,32.0,19.2,,,,19.2,,,
2,15,VPF-000404,Các loại trái cây,Dưa vàng,Yellow melon,13.0,0.2,,3.0,,24.0,5.6,,,,,,,
3,1,VPF-000403,Các loại trái cây,Dưa lê,Oriental melon,32.0,0.7,,7.6,,,,,,,,,,
3,2,VPF-000402,Các loại trái cây,Dưa hấu,Watermelon,16.0,1.2,0.2,2.3,,364.0,7.0,,,,5.0,,,
3,3,VPF-000401,Các loại trái cây,Chuối tiêu,Lady finger banana,92.0,1.4,0.2,21.0,,61.0,5.7,,,,18.0,,,
3,4,VPF-000400,Các loại trái cây,Chuối tây,Cavendish banana,48.0,0.6,0.2,10.8,,23.0,4.3,,,,2.3,,,
3,5,VPF-000399,Các loại trái cây,Chôm chôm,Rambutan,58.0,1.2,,,,,,,,,17.6,,,
3,6,VPF-000398,Các loại trái cây,Cam,Orange,36.0,0.9,,8.2,,92.0,39.0,,,,3.9,,,
3,7,VPF-000397,Các loại trái cây,Bưởi,Pomelo,24.0,0.2,,5.8,,,76.0,,,,2.4,,,
3,8,VPF-000396,"Các món trứng, sữa và chế phẩm",Phô mai tam giác,Triangle cheese,58.0,3.8,4.8,,41.3,17.8,,,,,165.0,61.0,,
3,9,VPF-000395,"Các món trứng, sữa và chế phẩm",Váng sữa Monte,Monte cream dessert,90.0,1.5,5.5,8.3,9.6,4.2,0.4,,,,,5.0,,
3,10,VPF-000394,"Các món trứng, sữa và chế phẩm",Sữa tươi tiệt trùng không đường TH True Milk,TH True Milk UHT fresh milk (unsweetened),110.0,5.4,5.9,8.8,75.6,,,,,,,,,
3,11,VPF-000393,"Các món trứng, sữa và chế phẩm",Sữa tươi tiệt trùng có đường Vinamilk,Vinamilk UHT fresh milk (sweetened),137.0,5.0,6.3,14.4,75.0,,11.3,,,,,,,
3,12,VPF-000392,"Các món trứng, sữa và chế phẩm",Sữa Milo,Milo chocolate malt drink,110.0,2.8,3.5,17.0,,,,,,,31.0,,,
3,13,VPF-000391,"Các món trứng, sữa và chế phẩm",Sữa đặc có đường,Sweetened condensed milk,134.0,3.2,3.5,22.4,23.2,20.0,,,,,60.0,12.8,,
3,14,VPF-000390,"Các món trứng, sữa và chế phẩm",Sữa đậu nành,Soy milk,108.6,3.8,2.2,18.4,266.0,,,,,,,,,
3,15,VPF-000389,"Các món trứng, sữa và chế phẩm",Sữa dê thanh trùng không đường,Pasteurized goat milk (unsweetened),138.0,7.0,8.2,4.5,,,,,,,100.0,,,
4,1,VPF-000388,"Các món trứng, sữa và chế phẩm",Sữa chua uống Yakult,Yakult probiotic drink,53.0,0.8,0.1,12.4,,,,,,,,,,
4,2,VPF-000387,"Các món trứng, sữa và chế phẩm",Sữa chua không đường TH True Yogurt,TH True Yogurt unsweetened yogurt,61.0,3.3,3.7,3.6,25.0,11.0,1.0,,,,46.0,13.0,,
4,3,VPF-000386,"Các món trứng, sữa và chế phẩm",Sữa chua có đường Ba Vì,Ba Vi sweetened yogurt,103.0,2.9,2.9,16.2,25.0,,1.0,,,,46.0,13.0,,
4,4,VPF-000385,"Các món trứng, sữa và chế phẩm",Sữa bột toàn phần,Whole milk powder,171.0,6.8,8.2,17.4,186.0,,270.0,,,,106.0,,,
4,5,VPF-000384,"Các món trứng, sữa và chế phẩm",Sữa bột tách béo,Skim milk powder,130.0,12.6,0.4,18.0,2.2,0.4,2.2,,,,192.6,7.2,,
4,6,VPF-000383,"Các món trứng, sữa và chế phẩm",Sữa bò tươi thanh trùng không đường TH True Milk,TH True Milk pasteurized fresh milk (unsweetened),138.0,7.0,7.7,10.1,93.7,12.5,,,,,,,,
4,7,VPF-000382,"Các món trứng, sữa và chế phẩm",Sữa bò tươi thanh trùng có đường Mộc Châu,Moc Chau pasteurized fresh milk with sugar,178.0,6.8,7.7,20.9,,,,,,,,,,
4,8,VPF-000381,"Các món trứng, sữa và chế phẩm",Trứng vịt rán,Fried duck eggs,218.0,15.3,17.0,1.0,722.0,57.9,1.8,,,,618.1,619.2,,
4,9,VPF-000380,"Các món trứng, sữa và chế phẩm",Trứng vịt luộc,Trứng vịt luộc,105.0,7.4,8.1,0.6,205.9,8.0,,,,,109.3,575.0,,
4,10,VPF-000379,"Các món trứng, sữa và chế phẩm",Trứng vịt lộn,Balut,82.0,6.1,5.6,1.8,394.0,196.0,1.4,,,,,,,
4,11,VPF-000378,"Các món trứng, sữa và chế phẩm",Trứng gà ta rán,Fried free-range chicken eggs,81.0,4.8,6.8,0.3,226.0,,,,,,138.0,178.6,,
4,12,VPF-000377,"Các món trứng, sữa và chế phẩm",Trứng gà ta luộc,Boiled free-range chicken eggs,57.0,5.1,4.0,0.2,27.0,,,,,,61.2,206.4,,
4,13,VPF-000376,"Các món trứng, sữa và chế phẩm",Trứng gà ngải cứu,Egg omelette with mugwort,96.0,6.3,7.5,0.7,277.2,,43.0,,,,303.4,232.2,,
4,14,VPF-000375,"Các món trứng, sữa và chế phẩm",Trứng gà công nghiệp luộc,Boiled farm chicken eggs,67.0,5.9,4.7,0.4,329.0,,,,,,74.0,221.0,,
4,15,VPF-000374,"Các món trứng, sữa và chế phẩm",Trứng chim cút luộc,Boiled quail eggs,15.0,1.3,1.1,,45.0,0.7,,,,,14.0,84.0,,
5,1,VPF-000373,"Các món xôi, chè",Tào phớ,Silken tofu dessert,137.0,4.8,0.4,28.3,,,,,,,0.2,,,
5,2,VPF-000372,"Các món xôi, chè",Sữa chua mít,Yogurt with jackfruit,197.0,4.0,5.0,34.0,,79.0,8.0,,,,47.0,13.0,,
5,3,VPF-000371,"Các món xôi, chè",Chè thưng,Southern-style mixed sweet dessert,265.0,7.5,6.5,44.1,,4.23,2.46,,,,21.9,,,
5,4,VPF-000370,"Các món xôi, chè",Chè thạch nhãn,Longan jelly dessert,235.0,2.6,0.3,55.5,,13.5,11.9,,,,7.8,,,
5,5,VPF-000369,"Các món xôi, chè",Chè sen,Lotus seed sweet dessert,92.0,1.9,,21.0,,2.25,4.2,,,,1.2,,,
5,6,VPF-000368,"Các món xôi, chè",Chè kho,Thick mung bean sweet dessert,666.0,35.8,4.6,120.4,,45.7,6.0,,,,10.5,,,
5,7,VPF-000367,"Các món xôi, chè",Chè hạt sen long nhãn,Lotus seed and longan sweet dessert,107.0,2.0,,24.0,,10.0,75.0,,,,8.0,,,
5,8,VPF-000366,"Các món xôi, chè",Chè đỗ xanh,Mung bean sweet dessert,227.0,10.5,1.1,43.8,,13.5,1.8,,,,2.9,,,
5,9,VPF-000365,"Các món xôi, chè",Chè cốm,Green rice sweet dessert,474.0,12.4,10.7,81.8,,12.2,2.1,,,,8.5,,,
5,10,VPF-000364,"Các món xôi, chè",Chè bà cốt,Sweet glutinous rice dessert with ginger,210.0,4.0,1.0,47.0,,,1.0,,,,1.0,,,
5,11,VPF-000363,"Các món xôi, chè",Xôi xéo,Sticky rice with mung bean and fried shallots,425.0,12.1,,79.3,,7.3,2.2,,,,6.2,,,
5,12,VPF-000362,"Các món xôi, chè",Xôi ngô,Corn sticky rice,376.0,9.7,7.4,67.7,,5.2,1.5,,,,3.8,,,
5,13,VPF-000361,"Các món xôi, chè",Xôi trứng ốp la,Sticky rice with fried egg,697.0,23.8,24.3,95.8,3600.0,14.0,,,,,202.0,919.0,,
5,14,VPF-000360,"Các món xôi, chè",Xôi trắng miệng bát,Plain sticky rice (bowl-sized),420.0,10.1,11.9,90.5,,,,,,,4.0,,,
5,15,VPF-000359,"Các món xôi, chè",Xôi thịt,Sticky rice with pork,681.0,16.3,27.6,91.8,,,,,,,242.5,,,
6,1,VPF-000358,"Các món xôi, chè",Xôi sắn,Cassava sticky rice,878.0,20.6,3.8,190.4,,35.0,4.0,,,,12.1,,,
6,2,VPF-000357,"Các món xôi, chè",Xôi lạp xưởng,Sticky rice with Chinese sausage,657.0,18.3,22.4,95.6,,,,,,,4.0,,,
6,3,VPF-000356,"Các món xôi, chè",Xôi lạc,Peanut sticky rice,490.0,9.2,8.6,93.8,,,,,,,,,,
6,4,VPF-000355,"Các món xôi, chè",Xôi giò,Sticky rice with pork roll,478.0,19.3,4.3,90.5,,,,,,,472.0,,,
6,5,VPF-000354,"Các món xôi, chè",Xôi gấc,Red sticky rice with gac fruit,483.0,6.9,2.3,108.4,,,,,,,,,,
6,6,VPF-000353,"Các món xôi, chè",Xôi gà,Sticky rice with chicken,588.0,28.0,13.0,90.0,79.0,0.0,3.0,,,,321.0,50.0,,
6,7,VPF-000352,"Các món xôi, chè",Xôi đỗ xanh,Mung bean sticky rice,438.0,11.2,0.8,96.6,,,,,,,,,,
6,8,VPF-000351,"Các món xôi, chè",Xôi đỗ đen miệng bát,Black bean sticky rice (bowl-sized),456.0,14.6,1.7,95.3,,,,,,,,,,
6,9,VPF-000350,"Các món xôi, chè",Xôi dừa,Coconut sticky rice,527.0,11.0,6.4,106.3,,,2.0,,,,43.5,,,
6,10,VPF-000349,"Các món xôi, chè",Xôi chả,Sticky rice with pork sausage,650.0,18.5,20.4,98.0,,,,,,,546.0,,,
6,11,VPF-000348,"Các món xôi, chè",Xôi bánh khúc,Sticky rice with mugwort rice balls,341.0,11.2,3.1,67.4,0.1,5.0,6.7,,,,248.2,2.4,,
6,12,VPF-000347,"Các món bánh, kẹo",Thạch trái cây,Fruit jelly,22.0,0.02,0.04,5.7,0.0,0.0,0.0,,,,0.0,,,
6,13,VPF-000346,"Các món bánh, kẹo",Socola thanh,Chocolate bar,233.0,2.1,13.1,26.9,0.0,0.9,0.0,,,,0.0,74.0,,
6,14,VPF-000345,"Các món bánh, kẹo",Kem socola,Chocolate ice cream,170.0,1.1,12.5,13.3,,,,,,,,,,
6,15,VPF-000344,"Các món bánh, kẹo",Kem đậu xanh,Mung bean ice cream,100.0,1.2,4.9,12.8,,,,,,,,,,
7,1,VPF-000343,"Các món bánh, kẹo",Bim bim,Snack chips,35.0,1.2,5.1,9.9,,,,,,,120.5,,,
7,2,VPF-000342,"Các món bánh, kẹo",Bánh sữa,Milk candy,30.0,0.0,0.0,7.0,,,,,,,15.0,,,
7,3,VPF-000341,"Các món bánh, kẹo",Kẹo sô cô la,Chocolate candy,27.0,6.2,30.7,55.3,,,0.0,,,,63.0,,,
7,4,VPF-000340,"Các món bánh, kẹo",Kẹo dừa,Coconut candy,20.0,0.0,0.6,3.7,0.0,0.0,,,,,0.0,,,
7,5,VPF-000339,"Các món bánh, kẹo",Kẹo cà phê,Coffee candy,11.0,0.0,0.0,2.7,0.0,0.0,0.8,,,,0.0,,,
7,6,VPF-000338,"Các món bánh, kẹo",Kẹo bạc hà,Mint candy,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,
7,7,VPF-000337,"Các món bánh, kẹo",Phồng tôm chiên,Fried prawn crackers,104.0,2.6,11.6,42.4,,,,,,,796.0,,,
7,8,VPF-000336,"Các món bánh, kẹo",Bánh xèo,Vietnamese sizzling pancake,306.0,20.7,2.9,49.5,4.2,8.7,,,,,411.9,15.6,,
7,9,VPF-000335,"Các món bánh, kẹo",Bánh tiêu,Vietnamese hollow fried dough,234.0,3.4,13.9,23.8,0.0,0.4,0.2,,,,40.3,,,
7,10,VPF-000334,"Các món bánh, kẹo",Bánh rán nhân đỗ,Fried dough balls with mung bean filling,192.0,3.3,10.2,21.9,0.0,1.8,0.2,,,,61.8,,,
7,11,VPF-000333,"Các món bánh, kẹo",Bánh rán mặn,Savory fried dough balls,207.0,4.2,11.1,22.6,0.2,0.6,0.8,,,,542.4,6.0,,
7,12,VPF-000332,"Các món bánh, kẹo",Bánh rán đường,Sugar-coated fried dough balls,252.0,3.3,10.2,36.7,0.0,1.8,0.2,,,,61.9,,,
7,13,VPF-000331,"Các món bánh, kẹo",Bánh gối,Vietnamese pillow cake,196.0,5.8,13.0,13.8,,,,,,,,,,
7,14,VPF-000330,"Các món bánh, kẹo",Bánh chuối,Banana cake,198.0,39.3,2.4,10.2,0.0,22.5,22.5,,,,0.6,0.6,,
7,15,VPF-000329,"Các món bánh, kẹo",Bánh trứng Custas,Custas egg cake,117.0,1.0,6.0,12.5,0.0,,0.0,,,,1.5,,,
8,1,VPF-000328,"Các món bánh, kẹo",Bánh quy tròn nhân kem Ritz,Ritz cream sandwich crackers,140.0,2.0,7.0,16.0,0.0,0.0,0.0,,,,180.0,,,
8,2,VPF-000327,"Các món bánh, kẹo",Bánh quy,Biscuits,130.0,3.0,1.6,26.0,6.7,26.0,0.0,,,,,,,
8,3,VPF-000326,"Các món bánh, kẹo",Bánh quế,Wafer rolls,28.0,0.5,0.9,4.6,0.0,,0.0,,,,9.0,1.0,,
8,4,VPF-000325,"Các món bánh, kẹo",Bánh nướng trứng đậu xanh,Baked mooncake with mung bean and egg yolk,648.0,19.5,27.5,80.6,,,,,,,,,,
8,5,VPF-000324,"Các món bánh, kẹo",Bánh nướng thập cẩm,Mixed baked mooncake,706.0,18.0,31.5,87.5,,,,,,,,,,
8,6,VPF-000323,"Các món bánh, kẹo",Bánh ngũ cốc cao năng lượng,High-energy cereal bars,110.0,3.0,5.0,16.0,250.0,,13.0,,,,40.0,,,
8,7,VPF-000322,"Các món bánh, kẹo",Bánh kem xốp,Wafer rolls,109.0,13.4,4.9,15.0,,,,,,,,,,
8,8,VPF-000321,"Các món bánh, kẹo",Bánh gấu,Bear-shaped biscuits,157.0,2.0,8.0,20.0,,,,,,,112.0,,,
8,9,VPF-000320,"Các món bánh, kẹo",Bánh gạo,Rice crackers,76.0,0.0,3.0,,0.0,,0.0,,,,389.6,,,
8,10,VPF-000319,"Các món bánh, kẹo",Bánh đa vừng trắng,White sesame rice cracker,124.0,3.9,1.1,24.6,,,,,,,,,,
8,11,VPF-000318,"Các món bánh, kẹo",Bánh đa vừng đen,Black sesame rice cracker,156.0,5.0,1.4,31.0,,,,,,,,,,
8,12,VPF-000317,"Các món bánh, kẹo",Bánh đậu xanh,Mung bean cake,113.0,3.5,5.4,,,,,,,,,,,
8,13,VPF-000316,"Các món bánh, kẹo",Bánh dẻo trứng đậu xanh,Snow skin mooncake with mung bean and egg yolk,648.0,19.5,27.5,80.6,,,,,,,,,,
8,14,VPF-000315,"Các món bánh, kẹo",Bánh dẻo thập cẩm,Mixed snow skin mooncake,566.0,16.3,6.6,110.2,,,,,,,,,,
8,15,VPF-000314,"Các món bánh, kẹo",Bánh Chocopie,Choco Pie,140.0,2.0,5.0,22.0,,,,,,,80.0,5.0,,
9,1,VPF-000313,"Các món bánh, kẹo",Bánh bông lan,Sponge cak,117.0,1.0,5.5,12.5,0.0,,0.0,,,,7.0,,,
9,2,VPF-000312,"Các món bánh, kẹo",Bánh mỳ sốt vang,Baguette with beef stew,382.0,19.3,12.6,41.6,1.6,2716.0,47.9,,,,464.6,47.0,,
9,3,VPF-000311,"Các món bánh, kẹo",Bánh mỳ ruốc,Baguette with pork floss,129.0,3.0,2.0,20.4,60.0,0.9,0.1,,,,12.6,0.6,,
9,4,VPF-000310,"Các món bánh, kẹo",Bánh mỳ pate,Baguette with pate,361.0,19.3,14.8,37.5,2.0,138.0,5.8,,,,284.0,34.0,,
9,5,VPF-000309,"Các món bánh, kẹo",Bánh mỳ ốp la,Baguette with fried egg,428.0,16.5,21.7,41.5,700.0,0.0,0.0,,,,199.2,244.4,,
9,6,VPF-000308,"Các món bánh, kẹo",Bánh mỳ ngọt (Kinh Đô),Sweet bread (Kinh Do),239.0,,10.9,29.8,,,,,,,117.6,,,
9,7,VPF-000307,"Các món bánh, kẹo",BÁNH MỲ KẸP THẬP CẨM,Vietnamese baguette with assorted fillings,558.0,23.8,38.7,28.4,4.0,92.4,4.1,,,,880.4,24.0,,
9,8,VPF-000306,"Các món bánh, kẹo",Bánh mỳ kẹp chả,Vietnamese baguette with pork sausage,391.0,14.1,22.0,34.3,,12.0,0.0,,,,533.0,,,
9,9,VPF-000305,"Các món bánh, kẹo",Bánh mỳ hot-dog nhân xúc xích,Hot dog bread with sausage,332.0,12.1,16.3,34.4,,1050.0,15.0,,,,30.2,,,
9,10,VPF-000304,"Các món bánh, kẹo",Bánh mỳ que Hải Phòng,Hai Phong stick bread,55.0,1.7,0.2,11.6,,0.0,0.0,,,,,0.0,,
9,11,VPF-000303,"Các món bánh, kẹo",Bánh mỳ vuông,Square bread,95.0,3.0,0.3,20.0,,0.0,0.0,,,,,0.0,,
9,12,VPF-000302,"Các món bánh, kẹo",Bánh xu xê,Sweet cassava cake,110.0,1.2,0.9,,,,,,,,,,,
9,13,VPF-000301,"Các món bánh, kẹo",Bánh trôi,Sweet glutinous rice balls,473.0,8.6,2.5,104.0,,0.0,0.0,,,,3.0,,,
9,14,VPF-000300,"Các món bánh, kẹo",Bánh tẻ,Steamed rice cake,251.0,3.9,5.2,47.0,,2.3,1.5,,,,2.4,0.0,,
9,15,VPF-000299,"Các món bánh, kẹo",Bánh nếp,Sticky rice cake,576.0,16.3,8.0,109.6,,,,,,,,11.1,,
10,1,VPF-000298,"Các món bánh, kẹo",Bánh giò,Steamed pork rice cake,437.0,5.13,33.6,28.7,0.0,0.0,0.0,,,,,,,
10,2,VPF-000297,"Các món bánh, kẹo",Bánh gai,Black sticky rice cake,361.0,9.3,4.2,71.4,,,,,,,,,,
10,3,VPF-000296,"Các món bánh, kẹo",Bánh đúc,Steamed rice flour cake,110.0,2.7,2.7,18.9,,,,,,,,,,
10,4,VPF-000295,"Các món bánh, kẹo",Bánh dày nhân đậu loại nhỏ,mall sticky rice cake with mung bean filling,50.0,1.8,0.7,9.2,,,,,,,,,,
10,5,VPF-000294,"Các món bánh, kẹo",Bánh cuốn trứng + chả,Steamed rice rolls with egg and pork sausage,354.0,18.0,22.5,20.0,700.0,,,,,,,,,
10,6,VPF-000293,"Các món bánh, kẹo",Bánh cuốn thịt,Steamed rice rolls with pork,440.0,16.7,18.5,51.5,7.6,1.9,1.9,,,,45.8,45.3,,
10,7,VPF-000292,"Các món bánh, kẹo",Bánh cuốn chả,Steamed rice rolls with pork sausage,353.0,10.1,19.4,34.3,,,,,,,1053.0,,,
10,8,VPF-000291,"Các món bánh, kẹo",Bánh cốm,Green rice cake,168.0,2.9,0.3,38.4,,,,,,,,,,
10,9,VPF-000290,"Các món bánh, kẹo",Bánh chưng cỡ vừa,Medium-sized square sticky rice cake,204.0,4.7,5.6,33.9,,,,,,,,,,
10,10,VPF-000289,"Các món bánh, kẹo",Bánh chay,Sweet rice dumplings,349.0,7.7,1.4,76.5,,5.0,0.6,,,,3.0,,,
10,11,VPF-000288,"Các món bánh, kẹo",Bánh bột lọc,Clear shrimp and pork dumplings,298.0,14.9,5.5,47.3,7.1,,,,,,206.6,98.4,,
10,12,VPF-000287,"Các món bánh, kẹo",Bánh bao nhân thịt,Steamed bun with pork filling,409.0,11.4,0.9,88.8,,,,,,,,,,
10,13,VPF-000286,"Các món bánh, kẹo",Bánh bao chay,Vegetarian steamed bun,33.0,0.9,0.1,7.1,,,,,,,,,,
10,14,VPF-000285,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu thập cẩm,Mixed hot pot,2605.0,197.2,119.6,194.0,259.5,23786.8,185.0,,,,6365.0,2995.0,,
10,15,VPF-000284,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu hải sản,Seafood hot pot,666.0,86.0,18.0,38.0,1257.0,33665.0,333.0,,,,5502.0,532.0,,
11,1,VPF-000283,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu gà,Chicken hot pot,1388.0,109.1,74.9,69.1,143.2,607.0,128.4,,,,5390.0,29304.0,,
11,2,VPF-000282,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu ếch,Frog hot pot,1643.0,144.6,41.5,179.1,302.3,672.0,302.3,,,,5183.0,25000.0,,
11,3,VPF-000281,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Lẩu cua, thịt bò",Crab and beef hot pot,1584.0,178.0,85.0,27.0,735.0,19452.0,232.0,,,,2084.0,35282.0,,
11,4,VPF-000280,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở vịt quay,Roast duck pho,592.0,22.0,15.9,90.4,197.1,55.5,3.2,,,,396.8,55.5,,
11,5,VPF-000279,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở xào tim cật,Stir-fried pho with chicken heart and gizzard,485.0,18.3,12.1,76.0,69.0,2934.0,29.0,,,,751.2,159.3,,
11,6,VPF-000278,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở gà bình dân,Affordable chicken pho,343.0,15.2,9.5,49.0,60.0,274.0,14.0,,,,1627.0,40.0,,
11,7,VPF-000277,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở gà 24h,Chicken pho slow-cooked 24h,356.0,19.0,12.2,42.6,84.0,608.0,10.0,,,,1664.0,55.0,,
11,8,VPF-000276,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở cuốn,Pho rolls,47.0,2.2,1.3,6.8,0.0,42.0,1.0,,,,124.0,3.0,,
11,9,VPF-000275,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò xào,Stir-fried beef pho,517.0,19.8,12.0,85.2,6.0,4300.0,43.0,,,,1032.0,20.0,,
11,10,VPF-000274,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái lăn,Stir-fried rare beef pho,620.0,45.6,16.8,71.7,0.0,959.0,44.0,,,,1440.0,72.0,,
11,11,VPF-000273,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái bình dân,Affordable rare beef pho,276.0,13.4,4.6,45.3,0.0,110.0,5.0,,,,1315.0,20.0,,
11,12,VPF-000272,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái 24h,Rare beef pho slow-cooked 24h,314.0,18.7,5.5,47.4,0.0,0.0,9.0,,,,1336.0,29.0,,
11,13,VPF-000271,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò sốt vang,Beef pho with red wine sauce,483.0,37.7,10.7,59.1,18.0,411.0,20.0,,,,1835.0,65.0,,
11,14,VPF-000270,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò chín bình dân,Affordable beef pho,291.0,16.1,5.1,45.3,0.0,110.0,5.0,,,,1326.0,25.0,,
11,15,VPF-000269,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò chín 24h,Beef pho slow-cooked 24h,352.0,25.4,6.7,47.4,0.0,137.0,0.0,,,,1518.0,42.0,,
